,Belfast Centre,,,,,,,,,
Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Sulphur dioxide,Status,Carbon monoxide,Status
28/04/1995,50,V µg/m³,19,V µg/m³,53,V µg/m³,38,V µg/m³,0.5,V mg/m³
29/04/1995,43,V µg/m³,11,V µg/m³,46,V µg/m³,25,V µg/m³,0.5,V mg/m³
30/04/1995,49,V µg/m³,4,V µg/m³,27,V µg/m³,18,V µg/m³,0.4,V mg/m³
01/05/1995,70,V µg/m³,7,V µg/m³,30,V µg/m³,13,V µg/m³,0.6,V mg/m³
02/05/1995,42,V µg/m³,16,V µg/m³,43,V µg/m³,23,V µg/m³,0.8,V mg/m³
03/05/1995,55,V µg/m³,23,V µg/m³,46,V µg/m³,42,V µg/m³,1.2,V mg/m³
04/05/1995,57,V µg/m³,20,V µg/m³,72,V µg/m³,93,V µg/m³,nodata,V mg/m³
05/05/1995,50,V µg/m³,12,V µg/m³,44,V µg/m³,88,V µg/m³,0.3,V mg/m³
06/05/1995,46,V µg/m³,11,V µg/m³,46,V µg/m³,34,V µg/m³,0.5,V mg/m³
07/05/1995,76,V µg/m³,4,V µg/m³,10,V µg/m³,7,V µg/m³,0.3,V mg/m³
08/05/1995,72,V µg/m³,5,V µg/m³,11,V µg/m³,7,V µg/m³,0.2,V mg/m³
09/05/1995,63,V µg/m³,7,V µg/m³,20,V µg/m³,14,V µg/m³,0.4,V mg/m³
10/05/1995,44,V µg/m³,13,V µg/m³,43,V µg/m³,26,V µg/m³,0.5,V mg/m³
11/05/1995,56,V µg/m³,8,V µg/m³,31,V µg/m³,32,V µg/m³,0.6,V mg/m³
12/05/1995,45,V µg/m³,10,V µg/m³,37,V µg/m³,33,V µg/m³,1.2,V mg/m³
13/05/1995,54,V µg/m³,5,V µg/m³,25,V µg/m³,28,V µg/m³,1,V mg/m³
14/05/1995,61,V µg/m³,3,V µg/m³,17,V µg/m³,19,V µg/m³,0.6,V mg/m³
